Location,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Adelaide,0.0,0.0,0.06,0.09,3.19,46.63,44.6,0.81,0.81,8.58,0.5,0.16,0.16,0.16,0.16,0.25,0.22,100.0,100.0,0.16,0.13,3.19,3.23
Albany,0.0,0.0,2.07,1.78,0.79,9.54,17.11,100.0,100.0,8.12,25.76,2.01,24.11,1.61,23.55,0.82,0.82,1.25,23.39,1.28,23.42,0.79,0.79
Albury,0.0,0.0,0.36,0.36,0.95,100.0,100.0,1.05,1.05,17.27,1.51,0.3,0.36,0.3,0.26,0.16,0.26,57.6,53.06,0.3,0.26,0.95,0.95
AliceSprings,0.0,0.0,0.03,0.07,0.26,7.07,17.11,1.68,1.68,7.57,0.13,0.07,0.07,0.1,0.16,0.03,0.1,10.99,11.88,0.0,0.07,0.26,0.3
BadgerysCreek,0.0,0.0,1.2,0.96,2.69,100.0,100.0,2.53,2.53,14.46,2.82,1.63,1.6,1.79,1.83,5.58,5.75,100.0,100.0,1.36,1.46,2.69,2.69
Ballarat,0.0,0.0,0.03,0.03,0.39,100.0,100.0,1.02,1.02,2.99,0.59,0.26,0.13,0.69,0.23,0.79,0.86,17.96,34.47,0.39,0.2,0.39,0.39
Bendigo,0.0,0.0,0.07,0.16,0.2,61.02,100.0,1.35,1.32,8.03,1.41,0.13,0.13,0.23,0.07,0.49,0.33,31.84,25.39,0.1,0.07,0.2,0.2
Brisbane,0.0,0.0,0.28,0.44,1.0,0.6,1.53,1.28,1.28,2.19,1.06,0.03,0.25,0.13,0.47,0.03,0.25,0.03,0.06,0.13,0.47,1.0,1.0
Cairns,0.0,0.0,0.03,0.0,1.71,12.17,15.66,0.62,0.59,1.41,0.13,0.03,0.03,0.03,0.0,0.03,0.0,6.81,7.57,0.03,0.0,1.71,1.71
Canberra,0.0,0.0,0.17,0.09,0.52,46.68,55.73,9.87,9.81,15.75,6.64,6.66,6.49,1.83,0.35,6.58,6.43,31.2,36.76,0.52,0.2,0.52,0.52
Cobar,0.0,0.0,0.2,0.1,0.7,11.4,81.72,1.4,1.4,0.9,0.5,0.56,0.4,4.15,4.15,1.0,0.86,12.63,10.24,0.27,0.23,0.7,0.7
CoffsHarbour,0.0,0.0,0.5,0.63,1.86,40.68,50.35,11.93,11.93,11.53,10.07,9.84,9.8,0.63,0.73,10.34,10.37,27.02,25.86,0.5,0.47,1.86,1.86
Dartmoor,0.0,0.0,2.29,2.09,2.23,13.59,14.72,2.29,2.29,18.88,3.26,2.19,2.13,7.58,7.48,2.13,2.16,100.0,100.0,2.16,2.13,2.23,2.19
Darwin,0.0,0.0,0.03,0.03,0.0,1.69,0.13,1.44,1.32,0.88,0.09,0.06,0.06,0.03,0.06,0.03,0.06,0.03,0.09,0.0,0.06,0.0,0.03
GoldCoast,0.0,0.0,0.1,0.23,1.97,100.0,100.0,3.95,3.95,2.14,1.15,1.32,1.02,0.46,0.39,0.03,0.03,100.0,100.0,0.03,0.03,1.97,1.97
Hobart,0.0,0.0,0.0,0.03,0.16,0.22,0.44,0.72,0.72,1.28,0.63,0.0,0.06,0.31,0.41,0.03,0.03,36.42,36.58,0.03,0.06,0.16,0.16
Katherine,0.0,0.0,3.11,2.53,1.14,5.89,100.0,1.84,1.84,2.53,1.14,0.06,0.38,5.13,52.98,0.06,0.32,2.6,45.88,2.66,45.88,1.14,1.2
Launceston,0.0,0.0,0.2,0.2,0.39,95.36,100.0,1.12,1.09,15.13,1.84,0.16,0.36,0.2,0.33,37.93,37.93,76.15,75.59,0.2,0.33,0.39,0.39
Melbourne,0.0,0.0,15.03,15.06,23.74,0.09,0.03,0.44,0.44,1.57,0.38,0.06,0.0,15.1,15.25,15.03,15.13,32.38,34.64,15.06,15.16,23.74,23.74
MelbourneAirport,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.5,0.5,1.33,0.43,0.03,0.0,0.27,0.3,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
Mildura,0.0,0.0,0.0,0.0,0.07,3.89,4.42,0.17,0.17,3.06,0.3,0.07,0.03,0.1,0.13,0.13,0.07,2.79,4.92,0.03,0.03,0.07,0.07
Moree,0.0,0.0,0.07,0.0,5.15,23.83,31.7,2.59,2.56,3.59,1.83,1.36,1.36,0.13,0.17,0.0,0.03,17.88,13.43,0.0,0.0,5.15,5.15
MountGambier,0.0,0.0,0.07,0.16,0.3,13.49,14.57,1.74,1.71,2.76,0.59,0.3,0.33,0.39,0.33,0.07,0.16,3.62,3.62,0.07,0.16,0.3,0.33
MountGinini,0.0,0.0,2.99,1.74,4.38,100.0,100.0,10.49,10.49,8.22,7.63,7.24,7.14,14.34,10.23,100.0,100.0,100.0,100.0,13.78,9.7,4.38,4.38
Newcastle,0.0,0.0,11.39,7.73,2.76,100.0,100.0,100.0,100.0,46.76,43.4,8.39,31.23,7.86,30.87,100.0,100.0,7.93,30.7,7.7,30.67,2.76,2.76
Nhil,0.0,0.0,0.32,0.38,0.57,100.0,100.0,0.7,0.7,3.17,0.32,0.32,0.32,0.32,0.32,0.32,0.32,100.0,100.0,0.32,0.32,0.57,0.57
NorahHead,0.0,0.0,1.0,1.0,2.5,100.0,100.0,1.8,1.8,3.56,1.6,1.33,1.1,1.33,1.07,1.13,0.87,100.0,100.0,1.33,1.03,2.5,2.5
