,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,year,month,day,LocationNum,WindGustDirNum,WindDir9amNum,WindDir3pmNum,Latitude,Longitude,CodeRegion,NonMes,CodeRegionNum,NonMesNum
110761,110761,2009-01-01,PearceRAAF,18.8,38.4,0.0,13.1,E,50.0,ESE,SE,22.0,13.0,46.0,20.0,1010.4,1007.2,,,23.1,35.6,0,0,2009,1,1,38,0.0,5.890486225480862,5.497787143782138,-31.667778,116.015,WA,Evaporation,5,8
110762,110762,2009-01-02,PearceRAAF,22.0,39.1,0.0,13.2,E,52.0,NW,SW,4.0,31.0,38.0,23.0,1008.3,1007.4,,,27.1,36.0,0,0,2009,1,2,38,0.0,2.356194490192345,3.9269908169872414,-31.667778,116.015,WA,Evaporation,5,8
110763,110763,2009-01-03,PearceRAAF,15.9,35.6,0.0,12.7,,,S,SSW,13.0,28.0,58.0,29.0,1012.1,1010.2,,,24.0,34.8,0,0,2009,1,3,38,,9.42477796076938,4.319689898685965,-31.667778,116.015,WA,Evaporation,5,8
110764,110764,2009-01-04,PearceRAAF,,37.0,0.0,13.3,SE,43.0,SE,ESE,24.0,20.0,45.0,19.0,1016.6,1012.6,,,22.7,35.2,0,0,2009,1,4,38,5.497787143782138,5.497787143782138,5.890486225480862,-31.667778,116.015,WA,Evaporation,5,8
110765,110765,2009-01-05,PearceRAAF,21.8,38.6,0.0,13.2,E,59.0,ESE,SSE,15.0,15.0,35.0,15.0,1014.1,1010.1,,,26.8,37.3,0,0,2009,1,5,38,0.0,5.890486225480862,5.105088062083414,-31.667778,116.015,WA,Evaporation,5,8
110766,110766,2009-01-06,PearceRAAF,19.9,38.0,0.0,13.2,SSW,43.0,SE,SSE,24.0,20.0,50.0,20.0,1013.5,1009.1,,,24.9,37.1,0,0,2009,1,6,38,4.319689898685965,5.497787143782138,5.105088062083414,-31.667778,116.015,WA,Evaporation,5,8
110767,110767,2009-01-07,PearceRAAF,18.8,36.6,0.0,13.2,E,69.0,E,ESE,26.0,22.0,49.0,23.0,1013.8,1010.5,,,23.2,34.3,0,0,2009,1,7,38,0.0,0.0,5.890486225480862,-31.667778,116.015,WA,Evaporation,5,8
110768,110768,2009-01-08,PearceRAAF,19.6,38.1,0.0,13.2,SE,44.0,ESE,S,19.0,26.0,49.0,22.0,1014.1,1010.7,,,23.9,36.6,0,0,2009,1,8,38,5.497787143782138,5.890486225480862,9.42477796076938,-31.667778,116.015,WA,Evaporation,5,8
110769,110769,2009-01-09,PearceRAAF,19.4,38.3,0.0,13.3,,,SE,SSW,11.0,22.0,49.0,23.0,1015.0,1010.8,,,24.1,37.3,0,0,2009,1,9,38,,5.497787143782138,4.319689898685965,-31.667778,116.015,WA,Evaporation,5,8
110770,110770,2009-01-10,PearceRAAF,,37.4,0.0,13.1,SSE,50.0,SE,SSW,17.0,30.0,41.0,22.0,1012.7,1009.7,,,26.0,35.9,0,0,2009,1,10,38,5.105088062083414,5.497787143782138,4.319689898685965,-31.667778,116.015,WA,Evaporation,5,8
