,Date,MinTemp,MaxTemp,Rainfall,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,year,month,day,LocationNum,WindDir9amNum,WindDir3pmNum,Latitude,Longitude,CodeRegionNum,NonMesNum
0,2008-12-01,13.2,24.083741888968998,0.0,6.0,19.0,50.0,24.0,3.0,4.0,21.8,30.6,0,0,2008,12,1,5,2.356194490192345,2.356194490192345,-32.9192953,151.7795348,0,3
1,2008-12-02,13.738447111777944,32.2,0.0,5.986226893802102,19.0,74.01479076479076,59.0,4.0,0.0,18.10122434281599,25.4,0,0,2008,12,2,5,3.068697886549468,0.7853981633974483,-32.9192953,151.7795348,0,3
2,2008-12-03,16.2,32.2,0.0,2.0,2.0,74.0,26.0,4.0,4.0,22.2,32.0,0,0,2008,12,3,5,1.5707963267948966,5.497787143782138,-32.9192953,151.7795348,0,3
3,2008-12-04,19.2,24.0,0.0,22.0,22.0,66.0,61.0,7.0,5.0,20.4,23.0,0,0,2008,12,4,5,5.497787143782138,5.497787143782138,-32.9192953,151.7795348,0,3
4,2008-12-05,18.8,30.2,0.0,4.0,10.614457831325302,85.0,57.32821497120921,8.0,4.0,20.0,22.30909090909091,0,0,2008,12,5,5,0.7853981633974483,4.021946742479966,-32.9192953,151.7795348,0,3
5,2008-12-06,19.8,34.2,0.0,4.0,7.0,56.0,39.0,6.0,7.0,29.2,31.8,0,0,2008,12,6,5,2.356194490192345,2.356194490192345,-32.9192953,151.7795348,0,3
6,2008-12-07,19.4,27.8,0.0,0.0,6.0,91.0,39.0,8.0,4.0,20.8,27.0,0,0,2008,12,7,5,3.068697886549468,5.497787143782138,-32.9192953,151.7795348,0,3
7,2008-12-08,13.738447111777944,26.2,0.0,5.986226893802102,22.0,74.01479076479076,71.0,4.0,7.0,18.10122434281599,22.2,0,0,2008,12,8,5,3.068697886549468,0.7853981633974483,-32.9192953,151.7795348,0,3
8,2008-12-09,15.6,29.4,0.0,4.0,19.0,78.0,53.0,1.0,3.0,21.2,28.2,0,0,2008,12,9,5,0.7853981633974483,2.356194490192345,-32.9192953,151.7795348,0,3
9,2008-12-10,19.2,26.4,0.0,22.0,10.614457831325302,63.0,57.32821497120921,0.0,4.0,25.8,22.30909090909091,0,0,2008,12,10,5,5.497787143782138,4.021946742479966,-32.9192953,151.7795348,0,3
10,2008-12-11,19.4,21.4,0.0,2.0,9.0,83.0,72.0,8.0,8.0,19.6,20.0,0,0,2008,12,11,5,0.7853981633974483,5.497787143782138,-32.9192953,151.7795348,0,3
11,2008-12-12,18.0,22.4,0.4,4.0,9.0,87.0,96.0,8.0,8.0,18.8,18.8,0,1,2008,12,12,5,0.7853981633974483,0.7853981633974483,-32.9192953,151.7795348,0,3
