,Date,MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,year,month,day,LocationNum,WindGustDirNum,WindDir9amNum,WindDir3pmNum,Latitude,Longitude,CodeRegionNum
0,2009-01-01,13.3,34.2,0.0,61.0,11.0,14.01329601119664,67.0,51.422456140350874,1005.6,1015.6404169714705,21.0,22.512792729814752,0,0,2009,1,1,1,3.141592653589793,1.1780972450961724,2.917968477725211,-33.8816671,150.7441627,0
1,2009-01-02,14.7,26.1,0.0,46.0,7.0,24.0,59.0,54.0,1012.9,1013.5,20.7,22.2,0,0,2009,1,2,1,5.497787143782138,5.497787143782138,5.497787143782138,-33.8816671,150.7441627,0
2,2009-01-03,13.6,22.3,0.0,30.0,6.0,15.0,57.0,51.0,1021.9,1019.2,17.9,21.7,0,0,2009,1,3,1,1.1780972450961724,5.890486225480862,0.7853981633974483,-33.8816671,150.7441627,0
3,2009-01-04,17.7,31.2,0.0,39.0,9.0,15.0,62.0,43.0,1018.7,1013.6,22.0,30.6,0,0,2009,1,4,1,0.7853981633974483,1.1780972450961724,1.5707963267948966,-33.8816671,150.7441627,0
4,2009-01-05,15.5,38.8,0.0,50.0,7.0,17.0,67.0,19.0,1013.2,1007.6,22.7,37.6,0,0,2009,1,5,1,3.9269908169872414,1.1780972450961724,3.141592653589793,-33.8816671,150.7441627,0
5,2009-01-06,14.0,39.3,0.0,35.0,6.0,15.0,56.0,13.0,1011.9,1006.9,24.2,38.0,0,0,2009,1,6,1,5.890486225480862,1.5707963267948966,0.3926990816987241,-33.8816671,150.7441627,0
6,2009-01-07,15.3,40.3,0.0,63.0,6.0,30.0,69.0,19.0,1010.1,1004.6,23.3,39.8,0,0,2009,1,7,1,3.141592653589793,1.5707963267948966,2.748893571891069,-33.8816671,150.7441627,0
7,2009-01-08,18.9,22.3,0.0,31.0,11.0,19.0,75.0,70.0,1012.7,1013.6,20.5,20.1,0,0,2009,1,8,1,5.497787143782138,5.105088062083414,5.497787143782138,-33.8816671,150.7441627,0
8,2009-01-09,14.8,22.4,0.4,33.0,15.0,19.0,65.0,46.0,1020.6,1018.8,17.6,21.1,0,0,2009,1,9,1,0.0,5.105088062083414,0.0,-33.8816671,150.7441627,0
9,2009-01-10,11.9,26.0,0.2,37.0,4.0,13.0,63.0,43.0,1017.2,1013.2,18.0,24.2,0,0,2009,1,10,1,0.3926990816987241,4.319689898685965,0.3926990816987241,-33.8816671,150.7441627,0
10,2009-01-11,12.6,30.2,0.0,41.0,7.0,19.0,61.0,40.0,1014.3,1010.1,21.6,29.0,0,1,2009,1,11,1,0.0,1.5707963267948966,0.0,-33.8816671,150.7441627,0
11,2009-01-12,15.3,29.4,4.0,37.0,4.0,22.0,78.0,50.0,1016.0,1015.8,21.2,27.7,1,0,2009,1,12,1,5.890486225480862,3.9269908169872414,5.890486225480862,-33.8816671,150.7441627,0
12,2009-01-13,18.4,32.7,0.0,39.0,7.0,17.0,83.0,40.0,1019.7,1015.3,21.5,30.5,0,0,2009,1,13,1,1.1780972450961724,1.1780972450961724,0.3926990816987241,-33.8816671,150.7441627,0
13,2009-01-14,15.9,39.9,0.0,50.0,6.0,13.0,70.0,21.0,1014.7,1009.6,23.9,39.2,0,0,2009,1,14,1,0.3926990816987241,0.3926990816987241,0.7853981633974483,-33.8816671,150.7441627,0
