,Date,MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,year,month,day,LocationNum,WindGustDirNum,WindDir9amNum,WindDir3pmNum,Latitude,Longitude,CodeRegionNum
0,2008-12-01,15.2,32.6,0.0,59.0,13.0,22.0,35.0,23.0,24.4,31.3,0,0,2008,12,1,8,2.748893571891069,1.1780972450961724,3.141592653589793,-33.7511954,150.6941711,0
1,2008-12-02,15.0,31.7,0.0,28.0,13.0,15.0,64.0,38.0,20.4,30.1,0,0,2008,12,2,8,0.3926990816987241,1.1780972450961724,1.5707963267948966,-33.7511954,150.6941711,0
2,2008-12-03,15.9,33.4,0.0,52.0,9.0,30.0,63.0,16.0,21.0,31.4,0,0,2008,12,3,8,2.356194490192345,1.5707963267948966,2.356194490192345,-33.7511954,150.6941711,0
3,2008-12-04,17.2,24.8,0.0,35.0,9.0,19.0,71.0,55.0,19.5,22.7,0,0,2008,12,4,8,0.0,5.105088062083414,0.0,-33.7511954,150.6941711,0
4,2008-12-05,17.8,32.2,0.0,28.0,7.0,15.0,97.0,48.0,19.8,29.6,0,0,2008,12,5,8,0.3926990816987241,0.7853981633974483,0.3926990816987241,-33.7511954,150.6941711,0
5,2008-12-06,18.1,36.2,0.2,46.0,7.0,24.0,75.0,26.0,25.9,35.7,0,0,2008,12,6,8,3.141592653589793,2.356194490192345,3.141592653589793,-33.7511954,150.6941711,0
6,2008-12-07,19.3,27.8,0.0,50.0,4.0,24.0,99.0,89.0,20.3,21.7,0,1,2008,12,7,8,9.42477796076938,0.7853981633974483,5.497787143782138,-33.7511954,150.6941711,0
7,2008-12-08,17.2,26.9,12.0,37.0,6.0,11.0,84.0,99.0,20.5,19.6,1,1,2008,12,8,8,1.1780972450961724,3.141592653589793,1.1780972450961724,-33.7511954,150.6941711,0
8,2008-12-09,15.9,33.0,4.8,35.0,7.0,15.0,89.0,21.0,20.0,32.2,1,0,2008,12,9,8,1.9634954084936207,1.1780972450961724,2.748893571891069,-33.7511954,150.6941711,0
9,2008-12-12,15.5,21.1,6.8,17.0,7.0,9.0,100.0,48.86484593837535,15.8,16.7,1,1,2008,12,12,8,4.319689898685965,0.0,4.319689898685965,-33.7511954,150.6941711,0
10,2008-12-13,15.8,32.7,42.2,76.0,9.0,31.0,100.0,35.0,21.1,32.0,1,0,2008,12,13,8,2.356194490192345,1.9634954084936207,2.748893571891069,-33.7511954,150.6941711,0
11,2008-12-14,19.1,25.5,0.0,61.0,26.0,30.0,42.0,37.0,21.8,23.3,0,0,2008,12,14,8,3.5342917352885173,3.141592653589793,3.5342917352885173,-33.7511954,150.6941711,0
12,2008-12-15,15.1,27.3,0.0,43.0,19.0,9.0,42.0,34.0,20.0,25.8,0,0,2008,12,15,8,9.42477796076938,4.319689898685965,5.497787143782138,-33.7511954,150.6941711,0
13,2008-12-16,12.9,30.5,0.0,24.0,2.0,13.0,70.0,32.0,18.4,29.2,0,0,2008,12,16,8,0.0,5.105088062083414,0.0,-33.7511954,150.6941711,0
14,2008-12-17,14.8,31.6,0.0,50.0,4.0,13.0,69.0,30.0,21.9,30.4,0,0,2008,12,17,8,5.497787143782138,1.5707963267948966,1.5707963267948966,-33.7511954,150.6941711,0
15,2008-12-18,18.6,33.5,0.0,56.0,7.0,30.0,60.0,26.0,23.3,32.1,0,0,2008,12,18,8,2.356194490192345,1.1780972450961724,2.356194490192345,-33.7511954,150.6941711,0
16,2008-12-19,15.8,28.5,0.0,54.0,6.0,20.0,44.0,27.0,23.0,28.0,0,0,2008,12,19,8,5.497787143782138,5.497787143782138,5.497787143782138,-33.7511954,150.6941711,0
17,2008-12-20,14.2,24.1,0.0,39.0,19.0,20.0,52.0,55.0,18.3,20.6,0,0,2008,12,20,8,5.105088062083414,9.42477796076938,5.497787143782138,-33.7511954,150.6941711,0
18,2008-12-21,10.7,25.8,0.0,30.0,6.0,13.0,66.0,40.0,18.6,24.1,0,0,2008,12,21,8,0.3926990816987241,4.319689898685965,0.0,-33.7511954,150.6941711,0
