,Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,year,month,day,LocationNum,WindDir9amNum,WindDir3pmNum,Latitude,Longitude,CodeRegionNum
0,2008-12-01,13.3,18.5,0.0,3.8,8.9,4.0,17.0,82.0,63.0,1017.9,1015.2,7.0,5.0,15.2,17.9,0,0,2008,12,1,36,1.9634954084936207,3.9269908169872414,-35.0247822,117.883608,5
1,2008-12-02,14.7,21.0,0.0,5.4,9.1,6.0,17.0,64.0,71.0,1012.8,1009.3,2.0,6.0,17.8,19.1,0,0,2008,12,2,36,0.7853981633974483,5.890486225480862,-35.0247822,117.883608,5
2,2008-12-03,16.5,24.0,0.2,4.8,10.0,19.0,24.0,36.0,73.0,999.8,998.7,7.0,7.0,20.0,21.0,0,1,2008,12,3,36,0.3926990816987241,3.5342917352885173,-35.0247822,117.883608,5
3,2008-12-04,14.1,20.6,7.8,7.0,7.2,13.0,41.0,69.0,81.0,1006.7,1008.5,5.0,7.0,19.8,18.0,1,0,2008,12,4,36,1.5707963267948966,3.5342917352885173,-35.0247822,117.883608,5
4,2008-12-05,13.0,17.8,0.0,3.6,4.9,13.0,19.0,73.0,63.0,1015.3,1016.3,3.0,5.0,16.0,17.0,0,0,2008,12,5,36,3.9269908169872414,3.9269908169872414,-35.0247822,117.883608,5
5,2008-12-06,14.8,18.5,0.0,3.8,8.7,11.0,20.0,46.0,48.0,1020.1,1017.9,8.0,3.0,16.9,17.7,0,0,2008,12,6,36,5.890486225480862,5.890486225480862,-35.0247822,117.883608,5
6,2008-12-07,14.0,20.0,0.0,6.0,12.8,7.0,31.0,62.0,72.0,1013.4,1007.9,2.0,2.0,18.0,19.5,0,0,2008,12,7,36,0.3926990816987241,5.890486225480862,-35.0247822,117.883608,5
7,2008-12-08,16.3,19.6,0.0,7.0,8.4,20.0,31.0,68.0,55.0,1008.2,1008.0,5.0,3.0,18.3,18.7,0,0,2008,12,8,36,3.9269908169872414,3.5342917352885173,-35.0247822,117.883608,5
8,2008-12-09,10.8,19.4,0.0,4.4,7.4,6.0,13.0,71.0,66.0,1010.5,1010.3,2.0,6.0,17.0,17.8,0,1,2008,12,9,36,1.9634954084936207,5.105088062083414,-35.0247822,117.883608,5
9,2008-12-10,13.6,19.2,14.4,4.4,4.7,6.0,20.0,84.0,69.0,1013.1,1013.0,8.0,6.0,14.9,18.8,1,0,2008,12,10,36,0.3926990816987241,5.497787143782138,-35.0247822,117.883608,5
10,2008-12-11,14.6,19.7,0.2,2.2,12.1,22.0,20.0,71.0,67.0,1016.3,1015.1,5.0,3.0,18.5,18.9,0,0,2008,12,11,36,5.890486225480862,5.890486225480862,-35.0247822,117.883608,5
11,2008-12-12,14.6,21.0,0.2,6.2,8.7,17.0,30.0,72.0,64.0,1018.1,1016.6,8.0,1.0,17.7,19.6,0,0,2008,12,12,36,3.9269908169872414,3.9269908169872414,-35.0247822,117.883608,5
12,2008-12-13,16.5,21.3,0.2,5.8,8.9,4.0,31.0,90.0,82.0,1020.0,1019.1,8.0,6.0,18.0,21.0,0,0,2008,12,13,36,3.141592653589793,3.5342917352885173,-35.0247822,117.883608,5
13,2008-12-14,14.6,22.5,0.0,4.2,13.0,6.0,22.0,72.0,75.0,1018.9,1015.6,0.0,0.0,19.5,20.8,0,0,2008,12,14,36,0.7853981633974483,1.5707963267948966,-35.0247822,117.883608,5
14,2008-12-15,17.5,20.6,0.0,8.0,2.1,24.0,19.0,81.0,77.0,1012.4,1013.3,8.0,8.0,18.5,19.5,0,0,2008,12,15,36,9.42477796076938,9.42477796076938,-35.0247822,117.883608,5
15,2008-12-16,14.0,18.8,0.8,4.2,5.9,9.0,19.0,87.0,69.0,1017.6,1016.9,7.0,7.0,14.9,17.7,0,0,2008,12,16,36,1.5707963267948966,9.42477796076938,-35.0247822,117.883608,5
16,2008-12-17,14.5,19.0,0.2,4.0,2.5,6.0,28.0,69.0,64.0,1018.3,1018.3,7.0,5.0,17.2,18.0,0,0,2008,12,17,36,3.141592653589793,3.9269908169872414,-35.0247822,117.883608,5
17,2008-12-18,12.0,21.0,0.0,4.2,13.2,6.0,33.0,85.0,60.0,1019.1,1014.8,2.0,1.0,17.0,20.0,0,0,2008,12,18,36,0.3926990816987241,5.497787143782138,-35.0247822,117.883608,5
18,2008-12-19,15.8,22.0,0.0,6.8,13.1,19.0,19.0,76.0,78.0,1010.6,1007.7,4.0,3.0,20.2,21.1,0,0,2008,12,19,36,5.890486225480862,5.105088062083414,-35.0247822,117.883608,5
19,2008-12-20,18.9,27.7,0.2,6.0,11.0,9.0,19.0,71.0,53.0,998.9,997.6,6.0,6.0,21.9,24.0,0,0,2008,12,20,36,2.748893571891069,3.141592653589793,-35.0247822,117.883608,5
20,2008-12-21,15.5,18.5,0.6,8.2,3.8,37.0,30.0,87.0,68.0,1011.9,1013.1,7.0,7.0,16.0,17.5,0,1,2008,12,21,36,1.5707963267948966,3.5342917352885173,-35.0247822,117.883608,5
21,2008-12-22,10.5,20.8,1.2,3.8,12.6,4.0,19.014801915542012,68.0,67.38159031979256,1016.2,1014.4,1.0,5.0,17.5,18.415271786022437,1,0,2008,12,22,36,1.1780972450961724,3.7765842736853723,-35.0247822,117.883608,5
22,2008-12-23,12.0,21.2,0.0,5.4,12.8,6.0,43.0,67.0,65.0,1012.5,1010.9,0.0,1.0,17.8,20.5,0,0,2008,12,23,36,3.141592653589793,3.5342917352885173,-35.0247822,117.883608,5
23,2008-12-24,14.0,19.6,0.0,8.0,12.2,7.0,22.0,57.0,63.0,1016.5,1013.8,2.0,4.0,17.5,19.0,0,0,2008,12,24,36,5.497787143782138,5.890486225480862,-35.0247822,117.883608,5
24,2008-12-25,12.2,21.1,0.0,6.8,12.0,9.0,30.0,66.0,56.0,1014.7,1013.1,1.0,1.0,18.0,20.5,0,0,2008,12,25,36,2.748893571891069,3.5342917352885173,-35.0247822,117.883608,5
25,2008-12-26,13.4,21.0,0.8,6.6,13.3,6.0,30.0,58.0,60.0,1015.7,1013.4,3.0,1.0,18.0,20.0,0,0,2008,12,26,36,3.141592653589793,3.9269908169872414,-35.0247822,117.883608,5
26,2008-12-27,17.5,24.6,0.0,8.2,9.6,6.0,43.0,77.0,70.0,1013.2,1011.0,7.0,2.0,20.0,22.5,0,1,2008,12,27,36,3.141592653589793,3.5342917352885173,-35.0247822,117.883608,5
27,2008-12-28,12.948461278322625,20.0,2.4,7.6,9.5,19.0,11.0,69.0,60.0,1018.4,1016.7,8.0,1.0,17.4,19.8,1,0,2008,12,28,36,9.42477796076938,5.497787143782138,-35.0247822,117.883608,5
28,2008-12-29,12.0,21.5,0.0,6.6,13.4,4.0,19.0,77.0,62.0,1018.4,1017.3,2.0,0.0,17.0,21.5,0,0,2008,12,29,36,4.319689898685965,9.42477796076938,-35.0247822,117.883608,5
29,2008-12-30,16.5,21.0,0.0,7.2,9.6,6.0,20.0,76.0,77.0,1018.1,1014.4,8.0,1.0,18.4,20.5,0,0,2008,12,30,36,5.890486225480862,5.890486225480862,-35.0247822,117.883608,5
30,2008-12-31,16.9,20.5,0.0,7.2,9.8,19.0,22.0,73.0,69.0,1015.2,1014.0,7.0,5.0,18.3,19.2,0,0,2008,12,31,36,5.497787143782138,5.497787143782138,-35.0247822,117.883608,5
31,2009-01-01,16.4,21.4,0.0,8.0,9.6,13.0,31.0,64.0,64.0,1017.9,1015.6,8.0,1.0,19.4,20.8,0,0,2009,1,1,36,0.0,5.890486225480862,-35.0247822,117.883608,5
