Feature,Importance
Latitude,0.0017034480301958742
CodeRegionNum,0.003098320361146352
Day,0.011145786425822158
Cloud9am,0.02593142704571787
WindDir3pmNum,0.02846977763494951
Year,0.030509569525053997
Evaporation,0.033034623765533414
NonMesNum,0.03703813390803923
WindGustDirNum,0.04885596624047795
Month,0.06256250208312715
MinTemp,0.072696428409381
Rainfall,0.08592663040009077
WindSpeed9am,0.10397435660973406
Humidity9am,0.10546548674928785
WindDir9amNum,0.13751554363828616
Temp9am,0.15887279363822446
LocationNum,0.17744214682283507
WindSpeed3pm,0.20434893130882978
RainToday,0.20586515396776914
Longitude,0.22528584200802568
Temp3pm,0.2639290828092134
Cloud3pm,0.28974655515023606
Sunshine,0.37134161695812185
MaxTemp,0.4069321673365136
WindGustSpeed,0.767459443627799
Pressure9am,1.0767368561243764
Humidity3pm,1.1767559202792823
Pressure3pm,1.5109421169076611
